job_id,job_title,company_name,location,industry,employment_type,experience_level,posting_date,job_description,required_skills,degree_required,degrees_accepted,min_salary,max_salary,avg_salary
1,Full Stack Developer,Capgemini,"Edinburgh, UK",Technology,Temporary,Senior,1/9/2026,"Develop end-to-end web applications across frontend and backend components, ensuring maintainable code and reliable delivery. Key requirements include javascript, html, css, and sql.","javascript, html, css, sql, rest api, git",BSc Computer Science,BSc Computer Science; MEng Software Engineering; BSc Information Technology; BSc Cybersecurity,75000,95000,85000
2,Software Engineer,Capgemini,"Hybrid, UK",Technology,Part-time,Junior,1/22/2026,"Design, develop and maintain software applications, collaborating with cross-functional teams to deliver reliable and scalable products. Key requirements include python, java, sql, and git.","python, java, sql, git, agile",BSc Computer Science,BSc Computer Science; MEng Software Engineering; BSc Information Technology; BSc Cybersecurity,50000,70000,60000
3,Software Engineer,BT,"Birmingham, UK",Technology,Full-time,Graduate,10/29/2025,"Design, develop and maintain software applications, collaborating with cross-functional teams to deliver reliable and scalable products. Key requirements include python, java, sql, and git.","python, java, sql, git, agile",BSc Computer Science,BSc Computer Science; MEng Software Engineering; BSc Information Technology; BSc Cybersecurity,55000,80000,67500
4,Criminal Defense Lawyer,Slaughter and May,"Birmingham, UK",Legal,Contract,Manager,11/17/2025,"Represent clients in criminal matters, prepare case strategy and support advocacy through strong legal research and communication. Key requirements include legal research, litigation, negotiation, and writing.","legal research, litigation, negotiation, writing, communication",LLB Law,LLB Law; MA Criminology; BA Politics; BA Business Management,80000,150000,115000
5,Data Scientist,Ocado,"London, UK",Data & Analytics,Part-time,Executive,11/2/2025,"Analyse complex datasets, build predictive models and communicate insights to support evidence-based decision making. Key requirements include python, sql, machine learning, and statistics.","python, sql, machine learning, statistics, data analysis, research",BSc Data Science,BSc Data Science; MSc Computer Science; BSc Statistics; BSc Mathematics; PhD Data Science,85000,130000,107500
6,Carpenter,Vistry,"Liverpool, UK",Construction,Contract,Junior,12/11/2025,"Carry out carpentry work on construction or refurbishment projects, interpreting plans and maintaining quality standards. Key requirements include problem solving, teamwork, communication, and reporting.","problem solving, teamwork, communication, reporting, organisation",BSc Construction Management,BSc Construction Management; MSc Construction Project Management; BArch Architecture; BSc Product Design,32000,45000,38500
7,UX Designer,BBC,"Edinburgh, UK",Technology,Part-time,Manager,1/21/2026,"Research user needs, create experience concepts and support intuitive digital product design. Key requirements include research, presentation, communication, and critical thinking.","research, presentation, communication, critical thinking",BSc User Experience Design,BSc User Experience Design; MA Graphic Design; BSc Computer Science; BSc Digital Media,65000,85000,75000
8,Product Manager,Deliveroo,"Cardiff, UK",Technology,Part-time,Principal,12/24/2025,"Own product roadmaps, gather requirements and coordinate cross-functional teams to deliver customer value. Key requirements include stakeholder management, agile, presentation, and decision making.","stakeholder management, agile, presentation, decision making, research",BA Business Management,BA Business Management; MSc Computer Science; BSc Information Technology; BSc Management,90000,140000,115000
9,Mobile Developer,BBC,"Oxford, UK",Technology,Part-time,Entry Level,12/21/2025,"Build and improve mobile applications, collaborating with product and engineering teams to deliver high-quality user experiences. Key requirements include java, javascript, git, and rest api.","java, javascript, git, rest api, agile",BSc Computer Science,BSc Computer Science; MEng Software Engineering; BSc Information Technology; BSc Digital Media,45000,65000,55000
10,Head of Department,Pearson,"Edinburgh, UK",Education,Temporary,Entry Level,10/13/2025,"Lead departmental planning, people management and performance improvement within an education or training environment. Key requirements include leadership, stakeholder management, presentation, and communication.","leadership, stakeholder management, presentation, communication, organisation",BA Education,BA Education; MSc Educational Leadership; BA Business Management; BSc Psychology,35000,47000,40800
11,Criminal Defense Lawyer,Local Chambers,"Birmingham, UK",Legal,Full-time,Manager,11/30/2025,"Represent clients in criminal matters, prepare case strategy and support advocacy through strong legal research and communication. Key requirements include legal research, litigation, negotiation, and writing.","legal research, litigation, negotiation, writing, communication",LLB Law,LLB Law; MA Criminology; BA Politics; BA Business Management,80000,150000,115000
12,Cybersecurity Analyst,BT,"Cardiff, UK",Cybersecurity,Part-time,Principal,1/12/2026,"Monitor security events, investigate threats and support compliance and risk reduction across digital systems. Key requirements include siem, nist, iso 27001, and vulnerability assessment.","siem, nist, iso 27001, vulnerability assessment, incident response, osint",BSc Cybersecurity,BSc Cybersecurity; MSc Computer Science; BSc Information Technology; BEng Software Engineering,70000,110000,90000
13,Research Scientist,AstraZeneca,"Hybrid, UK",Biotechnology,Full-time,Associate,1/1/2026,"Design and conduct research studies, analyse findings and contribute to scientific reporting and innovation. Key requirements include research, data analysis, reporting, and communication.","research, data analysis, reporting, communication, problem solving",BSc Biology,BSc Biology; MSc Chemistry; BSc Biomedical Science; BSc Environmental Science; PhD Biology,33000,45000,39360
14,Biomedical Engineer,Siemens Healthineers,"Leeds, UK",Healthcare Technology,Temporary,Entry Level,1/2/2026,"Support the design, testing and maintenance of biomedical equipment and healthcare technologies. Key requirements include data analysis, reporting, problem solving, and research.","data analysis, reporting, problem solving, research, communication",BEng Biomedical Engineering,BEng Biomedical Engineering; MEng Electrical Engineering; BEng Mechanical Engineering; BSc Health Sciences,29000,39000,34000
15,Academic Advisor,Local Authority,"Birmingham, UK",Education,Full-time,Manager,1/11/2026,"Advise students on academic planning and progression while supporting pastoral care and accurate record keeping. Key requirements include communication, organisation, presentation, and safeguarding.","communication, organisation, presentation, safeguarding, reporting",BA Education,BA Education; MSc Psychology; BSc Sociology; BA Business Management,40000,60000,50000
16,Mobile Developer,Deliveroo,"Edinburgh, UK",Technology,Full-time,Mid-level,10/17/2025,"Build and improve mobile applications, collaborating with product and engineering teams to deliver high-quality user experiences. Key requirements include java, javascript, git, and rest api.","java, javascript, git, rest api, agile",BSc Computer Science,BSc Computer Science; MEng Software Engineering; BSc Information Technology; BSc Digital Media,60000,85000,72500
17,Solutions Architect,Salesforce,"Oxford, UK",Technology,Full-time,Junior,10/14/2025,"Design end-to-end solution architectures that align business requirements with secure and scalable technical delivery. Key requirements include aws, azure, rest api, and stakeholder management.","aws, azure, rest api, stakeholder management, presentation",BSc Computer Science,BSc Computer Science; MEng Software Engineering; BSc Information Technology; BSc Business Information Systems,75000,125000,100000
18,Software Engineer,BT,"Glasgow, UK",Technology,Full-time,Junior,11/5/2025,"Design, develop and maintain software applications, collaborating with cross-functional teams to deliver reliable and scalable products. Key requirements include python, java, sql, and git.","python, java, sql, git, agile",BSc Computer Science,BSc Computer Science; MEng Software Engineering; BSc Information Technology; BSc Cybersecurity,55000,80000,67500
19,Pilot,British Airways,"Oxford, UK",Aviation,Temporary,Manager,12/8/2025,"Operate aircraft safely, follow aviation procedures and work closely with crew and control teams to ensure reliable service. Key requirements include decision making, communication, risk management, and teamwork.","decision making, communication, risk management, teamwork, reporting",BSc Aviation,BSc Aviation; MEng Aeronautical Engineering; BSc Physics; BSc Mathematics,90000,160000,125000
20,Social Media Manager,BBC,"Manchester, UK",Marketing,Full-time,Senior,10/8/2025,"Plan and manage social media activity, create engaging content and use performance data to improve campaigns. Key requirements include content strategy, seo, google analytics, and communication.","content strategy, seo, google analytics, communication, writing",BA Marketing,BA Marketing; MSc Strategic Communication; BSc Digital Media; BA Business Management,40000,65000,52500
21,AI Research Scientist,Microsoft Research,"Leeds, UK",Technology,Temporary,Senior,1/9/2026,"Conduct research into advanced AI methods, evaluate model performance and communicate findings to support experimentation and product innovation. Key requirements include python, machine learning, deep learning, and statistics.","python, machine learning, deep learning, statistics, research, nlp",BSc Computer Science,BSc Computer Science; MSc Artificial Intelligence; BSc Data Science; BSc Mathematics; PhD Computer Science,85000,140000,112500
22,Actuary,Aviva,"Belfast, UK",Insurance,Part-time,Manager,11/19/2025,"Analyse risk, model financial outcomes and support pricing, reserving or long-term planning decisions. Key requirements include statistics, risk analysis, excel, and forecasting.","statistics, risk analysis, excel, forecasting, reporting",BSc Actuarial Science,BSc Actuarial Science; MSc Mathematics; BSc Statistics; BSc Economics,70000,180000,125000
23,Change Manager,Capgemini,"Oxford, UK",Business Consulting,Full-time,Entry Level,11/23/2025,"Lead organisational change initiatives, support stakeholder adoption and coordinate communication and delivery planning. Key requirements include change management, stakeholder management, leadership, and communication.","change management, stakeholder management, leadership, communication, presentation",BA Business Management,BA Business Management; MSc Management; BSc Project Management; BSc Psychology,50000,85000,67500
24,Treasury Analyst,Unilever,"Southampton, UK",Finance,Full-time,Senior,10/24/2025,"Support cash management, liquidity analysis and treasury reporting to help manage financial risk and funding needs. Key requirements include forecasting, budgeting, risk analysis, and excel.","forecasting, budgeting, risk analysis, excel, reporting",BSc Finance,BSc Finance; MSc Economics; BA Business Management; BSc Mathematics,70000,120000,95000
25,Construction Manager,Balfour Beatty,"Newcastle, UK",Construction,Part-time,Manager,12/8/2025,"Oversee construction delivery, coordinate contractors and ensure projects meet safety, quality and schedule requirements. Key requirements include stakeholder management, risk management, leadership, and reporting.","stakeholder management, risk management, leadership, reporting, communication",BSc Construction Management,BSc Construction Management; MEng Civil Engineering; BArch Architecture; BSc Project Management,60000,95000,77500
26,Medical Technician,Siemens Healthineers,"Liverpool, UK",Healthcare,Part-time,Principal,9/26/2025,"Support clinical services through equipment handling, sample preparation or diagnostic support while maintaining accurate records. Key requirements include patient care, clinical assessment, reporting, and communication.","patient care, clinical assessment, reporting, communication, teamwork",BSc Health Sciences,BSc Health Sciences; MSc Biomedical Science; BSc Biology; BSc Chemistry,32000,48000,40000
27,Legal Counsel,BT,"Edinburgh, UK",Legal,Temporary,Specialist,11/14/2025,"Advise internal stakeholders on legal matters, draft agreements and support compliance and risk management activity. Key requirements include contract drafting, legal research, compliance, and negotiation.","contract drafting, legal research, compliance, negotiation, writing",LLB Law,LLB Law; MBA; BSc Finance; BA Politics,85000,180000,132500
28,Environmental Scientist,Arup,"Belfast, UK",Environmental Services,Full-time,Manager,10/17/2025,"Conduct environmental assessments, interpret data and support sustainable project or policy decisions. Key requirements include research, data analysis, reporting, and risk management.","research, data analysis, reporting, risk management, communication",BSc Environmental Science,BSc Environmental Science; MSc Biology; BSc Chemistry; BSc Geography; PhD Environmental Science,42000,70000,56000
29,Cloud Architect,Microsoft,"Bristol, UK",Technology,Temporary,Entry Level,1/21/2026,"Design cloud architectures, guide platform decisions and support secure, scalable deployment strategies across modern digital systems. Key requirements include aws, azure, gcp, and terraform.","aws, azure, gcp, terraform, microservices, kubernetes",BSc Computer Science,BSc Computer Science; MEng Software Engineering; BSc Information Technology; BSc Cybersecurity,80000,135000,107500
30,Surveyor,CBRE,"London, UK",Real Estate,Full-time,Senior,10/29/2025,"Inspect sites and assets, prepare reports and support valuation, planning or project delivery activities. Key requirements include reporting, risk management, research, and communication.","reporting, risk management, research, communication, stakeholder management",BSc Surveying,BSc Surveying; MEng Civil Engineering; BSc Real Estate; BArch Architecture,55000,90000,72500
31,Primary School Teacher,Local Authority,"Manchester, UK",Education,Full-time,Associate,9/27/2025,"Deliver engaging lessons, support pupil development and maintain a safe, inclusive and well-managed classroom environment. Key requirements include presentation, communication, organisation, and safeguarding.","presentation, communication, organisation, safeguarding, leadership",BA Education,BA Education; MSc Primary Education; BSc Psychology; BA English,32000,52000,42000
32,Physiotherapist,Bupa,"Cardiff, UK",Healthcare,Full-time,Manager,9/26/2025,"Assess movement and function, deliver rehabilitation plans and support patient recovery through evidence-based care. Key requirements include patient care, clinical assessment, communication, and reporting.","patient care, clinical assessment, communication, reporting, teamwork",BSc Physiotherapy,BSc Physiotherapy; MSc Health Sciences; BSc Sports Science; BSc Nursing,40000,65000,52500
33,Project Engineer,Jacobs,"Edinburgh, UK",Engineering,Full-time,Executive,10/8/2025,"Coordinate engineering projects, monitor delivery milestones and support technical planning, reporting and stakeholder communication. Key requirements include stakeholder management, reporting, risk management, and communication.","stakeholder management, reporting, risk management, communication, organisation",BEng Engineering,BEng Mechanical Engineering; MEng Electrical Engineering; BEng Civil Engineering; BSc Project Management,60000,95000,77500
34,Veterinarian,PDSA,"Oxford, UK",Healthcare,Part-time,Entry Level,1/2/2026,"Diagnose and treat animal health conditions while communicating clearly with owners and maintaining clinical records. Key requirements include patient care, clinical assessment, communication, and reporting.","patient care, clinical assessment, communication, reporting, decision making",BVetMS Veterinary Medicine and Surgery,BSc Veterinary Medicine and Surgery; MSc Animal Science; BSc Biology; BSc Biomedical Science,40000,75000,57500
35,Medical Technician,Siemens Healthineers,"Leeds, UK",Healthcare,Part-time,Graduate,11/24/2025,"Support clinical services through equipment handling, sample preparation or diagnostic support while maintaining accurate records. Key requirements include patient care, clinical assessment, reporting, and communication.","patient care, clinical assessment, reporting, communication, teamwork",BSc Health Sciences,BSc Health Sciences; MSc Biomedical Science; BSc Biology; BSc Chemistry,18000,24000,20800
36,Copywriter,Financial Times,"Southampton, UK",Media & Publishing,Temporary,Manager,10/29/2025,"Write clear, persuasive content for campaigns, digital channels or editorial projects while adapting tone to audience needs. Key requirements include writing, research, content strategy, and communication.","writing, research, content strategy, communication, presentation",BA English,BA English; MSc Strategic Communication; BA Marketing; BSc Journalism,38000,62000,50000
37,Supply Chain Manager,DHL,"Cardiff, UK",Logistics,Part-time,Entry Level,1/15/2026,"Lead supply chain planning and performance, manage stakeholders and improve resilience, cost and service outcomes. Key requirements include leadership, stakeholder management, risk management, and reporting.","leadership, stakeholder management, risk management, reporting, organisation",BSc Supply Chain Management,BSc Supply Chain Management; MBA; BSc Operations and Supply Chain Management; BSc Management,55000,95000,75000
38,Clinical Psychologist,Priory,"London, UK",Healthcare,Full-time,Associate,10/4/2025,"Assess psychological needs, deliver evidence-based interventions and contribute to multidisciplinary care planning. Key requirements include clinical assessment, communication, safeguarding, and research.","clinical assessment, communication, safeguarding, research, reporting",BSc Psychology,BSc Psychology; MSc Clinical Psychology; BSc Health Sciences; BSc Counselling Psychology,45000,75000,60000
39,Economist,HM Treasury,"Sheffield, UK",Finance,Contract,Principal,10/7/2025,"Analyse economic trends, interpret data and produce insight to support policy or commercial decision-making. Key requirements include statistics, research, data analysis, and reporting.","statistics, research, data analysis, reporting, forecasting",BSc Economics,BSc Economics; MSc Mathematics; BSc Statistics; BSc Finance; PhD Economics,60000,125000,92500
40,Laboratory Technician,NHS,"London, UK",Healthcare,Full-time,Principal,11/7/2025,"Prepare samples, support laboratory testing and maintain accurate records in line with quality and safety procedures. Key requirements include reporting, research, communication, and confidentiality.","reporting, research, communication, confidentiality, organisation",BSc Biomedical Science,BSc Biomedical Science; MSc Biology; BSc Chemistry; BSc Health Sciences,71000,97000,84000
41,Solicitor,Irwin Mitchell,"Cambridge, UK",Legal,Temporary,Senior,10/31/2025,"Advise clients on legal matters, draft documents and support case or transaction work with strong attention to detail. Key requirements include legal research, contract drafting, compliance, and writing.","legal research, contract drafting, compliance, writing, communication",LLB Law,LLB Law; MA Criminology; BA Business Management; BA Politics,65000,160000,112500
42,Graphic Designer,Penguin Random House,"Milton Keynes, UK",Media & Publishing,Part-time,Graduate,1/5/2026,"Create visual assets for digital or print channels, support brand consistency and communicate ideas through effective design. Key requirements include presentation, writing, research, and communication.","presentation, writing, research, communication, content strategy",BA Graphic Design,BA Graphic Design; MSc Digital Media; BSc Visual Communication; BSc Illustration,19000,25000,22100
43,Project Engineer,Siemens,"Newcastle, UK",Engineering,Part-time,Senior,12/1/2025,"Coordinate engineering projects, monitor delivery milestones and support technical planning, reporting and stakeholder communication. Key requirements include stakeholder management, reporting, risk management, and communication.","stakeholder management, reporting, risk management, communication, organisation",BEng Engineering,BEng Mechanical Engineering; MEng Electrical Engineering; BEng Civil Engineering; BSc Project Management,65000,95000,80000
44,Pharmacist,NHS,"Sheffield, UK",Healthcare,Part-time,Associate,12/14/2025,"Dispense medicines, advise patients and ensure safe, accurate and compliant pharmacy practice. Key requirements include medication management, patient care, communication, and reporting.","medication management, patient care, communication, reporting, confidentiality",MPharm Pharmacy,MPharm Pharmacy; MSc Pharmaceutical Science; BSc Chemistry; BSc Biomedical Science,38000,68000,53000
45,Content Strategist,Ogilvy,"London, UK",Media & Publishing,Contract,Associate,12/30/2025,"Plan and optimise content strategies that support audience growth, engagement and clear brand communication. Key requirements include content strategy, seo, writing, and research.","content strategy, seo, writing, research, communication",BA Marketing,BA Marketing; MSc Strategic Communication; BA English; BSc Digital Media,40000,65000,52500
46,Clinical Psychologist,NHS,"Oxford, UK",Healthcare,Contract,Manager,1/1/2026,"Assess psychological needs, deliver evidence-based interventions and contribute to multidisciplinary care planning. Key requirements include clinical assessment, communication, safeguarding, and research.","clinical assessment, communication, safeguarding, research, reporting",BSc Psychology,BSc Psychology; MSc Clinical Psychology; BSc Health Sciences; BSc Counselling Psychology,50000,80000,65000
47,Family Law Attorney,Irwin Mitchell,"Leeds, UK",Legal,Part-time,Executive,10/23/2025,"Advise and represent clients on family law matters, prepare documents and support effective case resolution. Key requirements include legal research, negotiation, writing, and communication.","legal research, negotiation, writing, communication, litigation",LLB Law,LLB Law; MA Criminology; BSc Psychology; BA Business Management,75000,170000,122500
48,UX Designer,Skyscanner,"Nottingham, UK",Technology,Part-time,Manager,12/26/2025,"Research user needs, create experience concepts and support intuitive digital product design. Key requirements include research, presentation, communication, and critical thinking.","research, presentation, communication, critical thinking",BSc User Experience Design,BSc User Experience Design; MA Graphic Design; BSc Computer Science; BSc Digital Media,60000,85000,72500
49,Pediatrician,NHS,"Glasgow, UK",Healthcare,Full-time,Manager,11/9/2025,"Provide medical care for infants, children and young people while collaborating with families and multidisciplinary teams. Key requirements include patient care, clinical assessment, communication, and safeguarding.","patient care, clinical assessment, communication, safeguarding, reporting",MBBS Medicine,MBBS Medicine; MSc Paediatrics; BSc Medical Sciences; BSc Health Sciences,70000,130000,100000
50,Database Administrator,NHS Digital,"Edinburgh, UK",Technology,Full-time,Executive,9/26/2025,"Administer databases, optimise performance and ensure secure, reliable access to critical business data. Key requirements include sql, linux, reporting, and troubleshooting.","sql, linux, reporting, troubleshooting, confidentiality",BSc Information Technology,BSc Information Technology; MSc Computer Science; BEng Software Engineering; BSc Cybersecurity,55000,85000,70000
51,Police Officer,Police Scotland,"Cardiff, UK",Public Services,Full-time,Manager,10/12/2025,"Protect the public, respond to incidents and support lawful, professional and well-documented policing activity. Key requirements include communication, decision making, safeguarding, and reporting.","communication, decision making, safeguarding, reporting, confidentiality",BA Criminology,BA Criminology; LLM Law; BSc Psychology; BSc Community and Public Service Management,32000,55000,43500
52,Change Manager,Accenture,"Edinburgh, UK",Business Consulting,Part-time,Junior,10/30/2025,"Lead organisational change initiatives, support stakeholder adoption and coordinate communication and delivery planning. Key requirements include change management, stakeholder management, leadership, and communication.","change management, stakeholder management, leadership, communication, presentation",BA Business Management,BA Business Management; MSc Management; BSc Project Management; BSc Psychology,50000,85000,67500
53,Environmental Scientist,AECOM,"Edinburgh, UK",Environmental Services,Full-time,Specialist,10/24/2025,"Conduct environmental assessments, interpret data and support sustainable project or policy decisions. Key requirements include research, data analysis, reporting, and risk management.","research, data analysis, reporting, risk management, communication",BSc Environmental Science,BSc Environmental Science; MSc Biology; BSc Chemistry; BSc Geography; PhD Environmental Science,45000,75000,60000
